DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Dec 28 2024 14:05:07,mandelbrot_amd_ext_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,16,6.5744
Dec 28 2024 14:05:16,mandelbrot_amd_ext_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,16,6.85384
Dec 28 2024 14:05:39,mandelbrot_amd_ext_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,16,13.2057
Dec 28 2024 14:06:16,mandelbrot_amd_ext_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,16,26.1094
Dec 28 2024 14:06:55,mandelbrot_amd_ext_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,16,26.8861
Dec 28 2024 14:08:22,mandelbrot_amd_ext_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,16,52.668
Dec 28 2024 14:10:48,mandelbrot_amd_ext_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,16,105.083
Dec 28 2024 14:11:23,mandelbrot_amd_ext_STATIC.exe,1000,1000,3000,2000,0.001,STATIC,2,2.21414
Dec 28 2024 14:11:31,mandelbrot_amd_ext_STATIC.exe,2000,1000,3000,2000,0.001,STATIC,2,4.29851
Dec 28 2024 14:11:40,mandelbrot_amd_ext_STATIC.exe,4000,1000,3000,2000,0.001,STATIC,2,8.50081
Dec 28 2024 14:11:49,mandelbrot_amd_ext_STATIC.exe,1000,2000,6000,4000,0.0005,STATIC,2,8.78809
Dec 28 2024 14:12:12,mandelbrot_amd_ext_STATIC.exe,2000,2000,6000,4000,0.0005,STATIC,2,17.3026
Dec 28 2024 14:12:51,mandelbrot_amd_ext_STATIC.exe,4000,2000,6000,4000,0.0005,STATIC,2,33.9948
Dec 28 2024 14:13:31,mandelbrot_amd_ext_STATIC.exe,1000,4000,12000,8000,0.00025,STATIC,2,34.8124
Dec 28 2024 14:14:53,mandelbrot_amd_ext_STATIC.exe,2000,4000,12000,8000,0.00025,STATIC,2,68.1909
Dec 28 2024 14:17:31,mandelbrot_amd_ext_STATIC.exe,4000,4000,12000,8000,0.00025,STATIC,2,135.575
Dec 28 2024 14:20:11,mandelbrot_amd_ext_STATIC.exe,1000,8000,24000,16000,0.000125,STATIC,2,140.192
Dec 28 2024 14:25:44,mandelbrot_amd_ext_STATIC.exe,2000,8000,24000,16000,0.000125,STATIC,2,274.31
Dec 28 2024 14:36:09,mandelbrot_amd_ext_STATIC.exe,4000,8000,24000,16000,0.000125,STATIC,2,541.809
Dec 28 2024 14:36:39,mandelbrot_amd_ext_STATIC.exe,1000,1000,3000,2000,0.001,STATIC,4,1.86077
Dec 28 2024 14:36:46,mandelbrot_amd_ext_STATIC.exe,2000,1000,3000,2000,0.001,STATIC,4,3.57041
Dec 28 2024 14:36:54,mandelbrot_amd_ext_STATIC.exe,4000,1000,3000,2000,0.001,STATIC,4,7.1428
Dec 28 2024 14:37:02,mandelbrot_amd_ext_STATIC.exe,1000,2000,6000,4000,0.0005,STATIC,4,7.38794
Dec 28 2024 14:37:21,mandelbrot_amd_ext_STATIC.exe,2000,2000,6000,4000,0.0005,STATIC,4,14.3406
Dec 28 2024 14:37:55,mandelbrot_amd_ext_STATIC.exe,4000,2000,6000,4000,0.0005,STATIC,4,29.0024
Dec 28 2024 14:38:29,mandelbrot_amd_ext_STATIC.exe,1000,4000,12000,8000,0.00025,STATIC,4,29.3691
Dec 28 2024 14:39:41,mandelbrot_amd_ext_STATIC.exe,2000,4000,12000,8000,0.00025,STATIC,4,57.7857
Dec 28 2024 14:41:53,mandelbrot_amd_ext_STATIC.exe,4000,4000,12000,8000,0.00025,STATIC,4,114.581
Dec 28 2024 14:44:10,mandelbrot_amd_ext_STATIC.exe,1000,8000,24000,16000,0.000125,STATIC,4,117.315
Dec 28 2024 14:48:55,mandelbrot_amd_ext_STATIC.exe,2000,8000,24000,16000,0.000125,STATIC,4,231.31
Dec 28 2024 14:57:53,mandelbrot_amd_ext_STATIC.exe,4000,8000,24000,16000,0.000125,STATIC,4,461.844
Dec 28 2024 14:58:28,mandelbrot_amd_ext_STATIC.exe,1000,1000,3000,2000,0.001,STATIC,8,1.09671
Dec 28 2024 14:58:30,mandelbrot_amd_ext_STATIC.exe,2000,1000,3000,2000,0.001,STATIC,8,2.23545
Dec 28 2024 14:58:36,mandelbrot_amd_ext_STATIC.exe,4000,1000,3000,2000,0.001,STATIC,8,4.59755
Dec 28 2024 14:58:41,mandelbrot_amd_ext_STATIC.exe,1000,2000,6000,4000,0.0005,STATIC,8,4.67303
Dec 28 2024 14:58:53,mandelbrot_amd_ext_STATIC.exe,2000,2000,6000,4000,0.0005,STATIC,8,9.31545
Dec 28 2024 14:59:16,mandelbrot_amd_ext_STATIC.exe,4000,2000,6000,4000,0.0005,STATIC,8,18.7717
Dec 28 2024 14:59:41,mandelbrot_amd_ext_STATIC.exe,1000,4000,12000,8000,0.00025,STATIC,8,18.8496
Dec 28 2024 15:00:29,mandelbrot_amd_ext_STATIC.exe,2000,4000,12000,8000,0.00025,STATIC,8,37.6116
Dec 28 2024 15:02:01,mandelbrot_amd_ext_STATIC.exe,4000,4000,12000,8000,0.00025,STATIC,8,74.7817
Dec 28 2024 15:03:31,mandelbrot_amd_ext_STATIC.exe,1000,8000,24000,16000,0.000125,STATIC,8,76.0183
Dec 28 2024 15:06:49,mandelbrot_amd_ext_STATIC.exe,2000,8000,24000,16000,0.000125,STATIC,8,150.229
Dec 28 2024 15:12:47,mandelbrot_amd_ext_STATIC.exe,4000,8000,24000,16000,0.000125,STATIC,8,300.303
Dec 28 2024 15:13:22,mandelbrot_amd_ext_STATIC.exe,1000,1000,3000,2000,0.001,STATIC,16,0.729359
Dec 28 2024 15:13:24,mandelbrot_amd_ext_STATIC.exe,2000,1000,3000,2000,0.001,STATIC,16,1.325
Dec 28 2024 15:13:27,mandelbrot_amd_ext_STATIC.exe,4000,1000,3000,2000,0.001,STATIC,16,2.73291
Dec 28 2024 15:13:30,mandelbrot_amd_ext_STATIC.exe,1000,2000,6000,4000,0.0005,STATIC,16,2.7207
Dec 28 2024 15:13:41,mandelbrot_amd_ext_STATIC.exe,2000,2000,6000,4000,0.0005,STATIC,16,5.42759
Dec 28 2024 15:13:54,mandelbrot_amd_ext_STATIC.exe,4000,2000,6000,4000,0.0005,STATIC,16,10.7548
Dec 28 2024 15:14:07,mandelbrot_amd_ext_STATIC.exe,1000,4000,12000,8000,0.00025,STATIC,16,10.9546
Dec 28 2024 15:14:40,mandelbrot_amd_ext_STATIC.exe,2000,4000,12000,8000,0.00025,STATIC,16,21.5644
Dec 28 2024 15:15:37,mandelbrot_amd_ext_STATIC.exe,4000,4000,12000,8000,0.00025,STATIC,16,43.3147
Dec 28 2024 15:16:36,mandelbrot_amd_ext_STATIC.exe,1000,8000,24000,16000,0.000125,STATIC,16,44.1121
Dec 28 2024 15:18:40,mandelbrot_amd_ext_STATIC.exe,2000,8000,24000,16000,0.000125,STATIC,16,86.656
Dec 28 2024 15:22:20,mandelbrot_amd_ext_STATIC.exe,4000,8000,24000,16000,0.000125,STATIC,16,172.94
Dec 28 2024 15:22:54,mandelbrot_amd_ext_GUIDED.exe,1000,1000,3000,2000,0.001,GUIDED,2,2.13756
Dec 28 2024 15:23:02,mandelbrot_amd_ext_GUIDED.exe,2000,1000,3000,2000,0.001,GUIDED,2,4.28234
Dec 28 2024 15:23:11,mandelbrot_amd_ext_GUIDED.exe,4000,1000,3000,2000,0.001,GUIDED,2,8.48853
Dec 28 2024 15:23:21,mandelbrot_amd_ext_GUIDED.exe,1000,2000,6000,4000,0.0005,GUIDED,2,8.67532
Dec 28 2024 15:23:43,mandelbrot_amd_ext_GUIDED.exe,2000,2000,6000,4000,0.0005,GUIDED,2,17.1657
Dec 28 2024 15:24:22,mandelbrot_amd_ext_GUIDED.exe,4000,2000,6000,4000,0.0005,GUIDED,2,34.1975
Dec 28 2024 15:25:02,mandelbrot_amd_ext_GUIDED.exe,1000,4000,12000,8000,0.00025,GUIDED,2,34.8306
Dec 28 2024 15:26:25,mandelbrot_amd_ext_GUIDED.exe,2000,4000,12000,8000,0.00025,GUIDED,2,68.3811
Dec 28 2024 15:29:03,mandelbrot_amd_ext_GUIDED.exe,4000,4000,12000,8000,0.00025,GUIDED,2,135.841
Dec 28 2024 15:31:44,mandelbrot_amd_ext_GUIDED.exe,1000,8000,24000,16000,0.000125,GUIDED,2,139.756
